Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,4,2018,33,U,true,JMC,NOVEMBER,2020,Lecture 14
1,US,4,2018,33,U,true,PYC,SEPTEMBER,2018,Lecture 14
2,CN,6,2017,69,U,false,JMC,AUGUST,2017,Lecture 10
2,CN,6,2017,69,U,false,PYC,JULY,2017,Lecture 8
3,CN,11,2024,22,M,true,JMC,FEBRUARY,2024,Lecture 12
3,CN,11,2024,22,M,true,PYC,JULY,2024,Lecture 14
4,GB,2,2022,41,U,true,JMC,MAY,2023,Lecture 9
4,GB,2,2022,41,U,true,PYC,JUNE,2023,Lecture 13
5,US,1,2016,73,F,true,JMC,JULY,2019,Lecture 5
5,US,1,2016,73,F,true,PYC,JUNE,2020,Lecture 3
6,AU,12,2019,47,F,true,JMC,MARCH,2023,Lecture 6
6,AU,12,2019,47,F,true,PYC,OCTOBER,2021,Lecture 10
7,IN,9,2023,21,U,true,JMC,APRIL,2024,Lecture 4
7,IN,9,2023,21,U,true,PYC,JUNE,2024,Lecture 7
8,AU,4,2020,39,F,true,JMC,OCTOBER,2023,Lecture 12
8,AU,4,2020,39,F,true,PYC,MAY,2022,Lecture 12
9,US,10,2017,86,M,false,JMC,MAY,2017,Lecture 2
9,US,10,2017,86,M,false,PYC,FEBRUARY,2024,Lecture 14
10,CN,5,2022,34,M,false,JMC,DECEMBER,2022,Lecture 10
10,CN,5,2022,34,M,false,PYC,AUGUST,2024,Lecture 13
11,GB,4,2020,65,M,true,JMC,MARCH,2023,Lecture 7
11,GB,4,2020,65,M,true,PYC,FEBRUARY,2023,Lecture 5
12,GB,6,2020,54,M,true,JMC,AUGUST,2022,Lecture 13
12,GB,6,2020,54,M,true,PYC,AUGUST,2021,Lecture 10
13,CN,2,2024,20,U,false,JMC,MAY,2024,Lecture 10
13,CN,2,2024,20,U,false,PYC,JUNE,2024,Lecture 10
14,CN,10,2015,75,U,false,JMC,OCTOBER,2023,Lecture 8
14,CN,10,2015,75,U,false,PYC,OCTOBER,2017,Lecture 7
15,US,12,2021,40,F,false,JMC,MAY,2022,Lecture 13
15,US,12,2021,40,F,false,PYC,JANUARY,2022,Lecture 3
16,AU,12,2023,19,F,false,JMC,NOVEMBER,2024,Lecture 8
16,AU,12,2023,19,F,false,PYC,OCTOBER,2024,Lecture 12
17,GB,12,2015,74,F,false,JMC,JANUARY,2017,Lecture 2
17,GB,12,2015,74,F,false,PYC,APRIL,2023,Lecture 7
18,AU,7,2024,71,F,true,JMC,JANUARY,2024,Lecture 1
18,AU,7,2024,71,F,true,PYC,JANUARY,2024,Lecture 7
19,AU,5,2021,21,F,false,JMC,DECEMBER,2024,Lecture 14
19,AU,5,2021,21,F,false,PYC,NOVEMBER,2023,Lecture 14
20,AU,2,2016,40,U,true,JMC,APRIL,2021,Lecture 1
20,AU,2,2016,40,U,true,PYC,SEPTEMBER,2022,Lecture 14
21,US,10,2016,58,U,true,JMC,OCTOBER,2017,Lecture 8
21,US,10,2016,58,U,true,PYC,OCTOBER,2017,Lecture 6
22,AU,7,2016,19,F,false,JMC,APRIL,2016,Lecture 14
22,AU,7,2016,19,F,false,PYC,NOVEMBER,2017,Lecture 4
23,GB,8,2020,47,U,true,JMC,MARCH,2021,Lecture 12
23,GB,8,2020,47,U,true,PYC,JULY,2022,Lecture 3
24,AU,8,2018,79,M,true,JMC,MAY,2022,Lecture 10
24,AU,8,2018,79,M,true,PYC,JANUARY,2024,Lecture 1
25,CN,2,2023,23,M,false,JMC,JANUARY,2023,Lecture 11
25,CN,2,2023,23,M,false,PYC,FEBRUARY,2023,Lecture 4
